filename,abs_filepath,emotion
Ses04M_script02_2_F005,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F005.wav,Anger Frustration Other
Ses04M_script02_2_F011,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F011.wav,Anger Frustration
Ses04M_script02_2_F034,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F034.wav,Excited Frustration Sadness
Ses04M_script02_2_F020,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F020.wav,Sadness
Ses04M_script02_2_F008,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F008.wav,Anger Frustration
Ses04M_script02_2_M015,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M015.wav,Anger Frustration
Ses04M_script02_2_M001,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M001.wav,Excited Neutral
Ses04M_script02_2_M029,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M029.wav,Anger Frustration
Ses04M_script02_2_M028,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M028.wav,Anger Frustration
Ses04M_script02_2_M000,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M000.wav,Excited Neutral
Ses04M_script02_2_M014,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M014.wav,Frustration
Ses04M_script02_2_F009,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F009.wav,Anger Frustration
Ses04M_script02_2_F021,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F021.wav,Sadness
Ses04M_script02_2_F035,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F035.wav,Happiness Neutral
Ses04M_script02_2_F023,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F023.wav,Anger Frustration
Ses04M_script02_2_F037,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F037.wav,Happiness Frustration Neutral
Ses04M_script02_2_M002,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M002.wav,Anger Frustration
Ses04M_script02_2_M016,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M016.wav,Frustration
Ses04M_script02_2_M017,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M017.wav,Frustration
Ses04M_script02_2_M003,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M003.wav,Other Frustration Neutral
Ses04M_script02_2_F036,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F036.wav,Happiness Neutral
Ses04M_script02_2_F022,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F022.wav,Frustration Sadness
Ses04M_script02_2_F026,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F026.wav,Anger Frustration
Ses04M_script02_2_F032,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F032.wav,Anger Sadness
Ses04M_script02_2_M007,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M007.wav,Anger Frustration
Ses04M_script02_2_M013,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M013.wav,Frustration
Ses04M_script02_2_M012,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M012.wav,Anger Frustration Other
Ses04M_script02_2_M006,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M006.wav,Anger Frustration
Ses04M_script02_2_F033,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F033.wav,Excited Frustration Sadness
Ses04M_script02_2_F027,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F027.wav,Anger
Ses04M_script02_2_F019,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F019.wav,Sadness
Ses04M_script02_2_F031,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F031.wav,Frustration
Ses04M_script02_2_F025,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F025.wav,Anger
Ses04M_script02_2_M038,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M038.wav,Surprise Excited
Ses04M_script02_2_M010,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M010.wav,Anger Frustration Neutral
Ses04M_script02_2_M004,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M004.wav,Other Frustration Neutral
Ses04M_script02_2_M005,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M005.wav,Frustration Neutral
Ses04M_script02_2_M011,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M011.wav,Anger Frustration
Ses04M_script02_2_M039,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_M039.wav,Happiness Neutral
Ses04M_script02_2_F024,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F024.wav,Frustration
Ses04M_script02_2_F030,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F030.wav,Anger Frustration
Ses04M_script02_2_F018,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04M_script02_2/Ses04M_script02_2_F018.wav,Happiness Sadness
Ses04F_script01_1_M041,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_M041.wav,Frustration Sadness Neutral
Ses04F_script01_1_M040,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_M040.wav,Frustration Neutral
Ses04F_script01_1_M042,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_M042.wav,Frustration Sadness
Ses04F_script01_1_M043,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_M043.wav,Frustration
Ses04F_script01_1_M044,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_M044.wav,Anger Frustration Sadness
Ses04F_script01_1_M045,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_M045.wav,Anger Frustration Sadness
Ses04F_script01_1_M022,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_M022.wav,Anger Frustration
Ses04F_script01_1_M036,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_M036.wav,Anger Sadness Neutral
Ses04F_script01_1_F003,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_F003.wav,Surprise Frustration Other
Ses04F_script01_1_F017,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_F017.wav,Anger Frustration Neutral
Ses04F_script01_1_F016,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_F016.wav,Fear Sadness Neutral
Ses04F_script01_1_F002,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_F002.wav,Surprise Frustration Neutral
Ses04F_script01_1_M037,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_M037.wav,Anger Frustration Neutral
Ses04F_script01_1_M023,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_M023.wav,Anger Frustration
Ses04F_script01_1_M009,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_M009.wav,Anger Frustration
Ses04F_script01_1_M035,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_M035.wav,Anger Frustration
Ses04F_script01_1_M021,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_M021.wav,Anger Frustration
Ses04F_script01_1_F028,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_F028.wav,Anger Frustration
Ses04F_script01_1_F014,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_F014.wav,Anger Frustration
Ses04F_script01_1_F000,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_F000.wav,Fear Frustration Sadness
Ses04F_script01_1_F001,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_F001.wav,Surprise Frustration
Ses04F_script01_1_F015,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_F015.wav,Anger
Ses04F_script01_1_F029,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_F029.wav,Anger Frustration
Ses04F_script01_1_M020,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_M020.wav,Anger Frustration
Ses04F_script01_1_M034,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_M034.wav,Anger Frustration
Ses04F_script01_1_M008,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_M008.wav,Frustration Sadness
Ses04F_script01_1_M030,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_M030.wav,Anger Frustration
Ses04F_script01_1_M024,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_M024.wav,Frustration Sadness
Ses04F_script01_1_M018,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_M018.wav,Anger Frustration
Ses04F_script01_1_F011,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_F011.wav,Anger Frustration
Ses04F_script01_1_F005,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_F005.wav,Frustration Sadness Other
Ses04F_script01_1_F039,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_F039.wav,Anger Frustration
Ses04F_script01_1_F038,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_F038.wav,Anger Frustration
Ses04F_script01_1_F004,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_F004.wav,Sadness Neutral
Ses04F_script01_1_F010,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_F010.wav,Surprise Anger Neutral
Ses04F_script01_1_M019,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_M019.wav,Anger Frustration
Ses04F_script01_1_M025,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_M025.wav,Anger
Ses04F_script01_1_M031,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_M031.wav,Frustration Sadness Neutral
Ses04F_script01_1_M027,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session4/Ses04F_script01_1/Ses04F_script01_1_M027.wav,Anger Frustration
